Team,23,22,21,20,19,18,17,16,15,14,13,12,11,10,09
Arsenal,2.0,2.0,5.0,8.0,10.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0
Aston Villa,4.0,7.0,14.0,11.0,17.0,,,,20.0,17.0,15.0,15.0,16.0,9.0,6.0
Birmingham,,,,,,,,,,,,,,18.0,9.0
Blackburn,,,,,,,,,,,,,19.0,15.0,10.0
Blackpool,,,,,,,,,,,,,,19.0,
Bolton,,,,,,,,,,,,,18.0,14.0,14.0
Bournemouth,13.0,15.0,,,16.0,8.0,12.0,9.0,16.0,,,,,,
Brentford,16.0,9.0,13.0,,,,,,,,,,,,
Brighton,11.0,6.0,9.0,16.0,15.0,13.0,15.0,,,,,,,,
Burnley,19.0,,18.0,17.0,11.0,17.0,7.0,16.0,,19.0,,,,,18.0
Cardiff,,,,,,14.0,,,,,20.0,,,,
Chelsea,6.0,12.0,3.0,4.0,4.0,4.0,5.0,1.0,10.0,1.0,3.0,3.0,6.0,2.0,1.0
Crystal Palace,10.0,11.0,12.0,14.0,14.0,16.0,11.0,14.0,15.0,10.0,11.0,,,,
Everton,12.0,17.0,16.0,10.0,9.0,7.0,8.0,7.0,11.0,11.0,5.0,6.0,7.0,7.0,8.0
Fulham,14.0,10.0,,18.0,,20.0,,,,,19.0,12.0,9.0,8.0,12.0
Huddersfield,,,,,,18.0,16.0,,,,,,,,
Hull,,,,,,,,18.0,,18.0,16.0,,,,19.0
Leeds,,19.0,17.0,9.0,,,,,,,,,,,
Leicester,,18.0,8.0,5.0,3.0,9.0,9.0,12.0,1.0,14.0,,,,,
Liverpool,3.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,8.0,6.0,2.0,7.0,8.0,6.0,7.0
Luton,18.0,,,,,,,,,,,,,,
Man City,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,5.0
Man United,8.0,3.0,6.0,2.0,7.0,6.0,2.0,6.0,5.0,4.0,7.0,1.0,2.0,1.0,2.0
Middlesbrough,,,,,,,,19.0,,,,,,,
Newcastle,7.0,4.0,11.0,12.0,13.0,15.0,10.0,,18.0,15.0,10.0,16.0,5.0,12.0,
Norwich,,,20.0,,20.0,,,,19.0,,18.0,11.0,12.0,,
Nott'm Forest,17.0,16.0,,,,,,,,,,,,,
Portsmouth,,,,,,,,,,,,,,,20.0
QPR,,,,,,,,,,20.0,,20.0,17.0,,
Reading,,,,,,,,,,,,19.0,,,
Sheffield United,20.0,,,20.0,6.0,,,,,,,,,,
Southampton,,20.0,15.0,15.0,12.0,19.0,17.0,8.0,6.0,7.0,8.0,14.0,,,
Stoke,,,,,,,19.0,13.0,9.0,9.0,9.0,13.0,14.0,13.0,11.0
Sunderland,,,,,,,,20.0,17.0,16.0,14.0,17.0,13.0,10.0,13.0
Swansea,,,,,,,18.0,15.0,12.0,8.0,12.0,9.0,11.0,,
Tottenham,5.0,8.0,4.0,7.0,5.0,3.0,3.0,2.0,3.0,5.0,6.0,5.0,4.0,5.0,4.0
Watford,,,19.0,,19.0,12.0,14.0,17.0,13.0,,,,,,
West Brom,,,,19.0,,,20.0,10.0,14.0,13.0,17.0,8.0,10.0,11.0,
West Ham,9.0,14.0,7.0,6.0,18.0,11.0,13.0,11.0,7.0,12.0,13.0,10.0,,20.0,17.0
Wigan,,,,,,,,,,,,18.0,15.0,16.0,16.0
Wolves,15.0,13.0,10.0,13.0,8.0,10.0,,,,,,,20.0,17.0,15.0
